"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"CATEGORY";"CREATED_BY";"DESCRIPTION";"DIGIKEY";"HEIGHT";"MANUFACTURE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"QUANITY";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"3";"12k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R8, R26, R29";"Resistor Fixed - ANSI";"";"";"";"";"";"311-12.0KLRCT-ND";"";"";"Yageo";"";"";"";"";"";"";"RC0402FR-0712KL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"12pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C46";"Capacitor - Generic";"";"";"";"";"";"478-04026A120KAT2ACT-ND";"";"";"Kyocera Avx";"";"";"";"";"";"";"04026A120KAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"15.8k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R2, R11, R36";"Resistor Fixed - ANSI";"";"";"";"";"";"541-15.8KLCT-ND";"";"";"Vishay Dale";"";"";"";"";"";"";"CRCW040215K8FKED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"15k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R16";"Resistor Fixed - ANSI";"";"";"";"";"";"RMCF0402FT15K0CT-ND";"";"";"Stackpole Electronics Inc";"";"";"";"";"";"";"RMCF0402FT15K0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"15pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C48, C73";"Capacitor - Generic";"";"";"";"";"";"2571-GMC04CG150J50NTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"GMC04CG150J50NT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"16pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C54, C55";"Capacitor - Generic";"";"";"";"";"";"399-C0402C160K3HACAUTOCT-ND";"";"";"Kemet";"";"";"";"";"";"";"C0402C160K3HACAUTO";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1751248";"1751248";"1751248";"X1";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"24";"";"";"";"";"";"";"";"";
"4";"1uF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C77, C79, C80, C82";"Capacitor - Generic";"";"";"";"";"";"2873-C0402B105K016TCT-ND";"";"";"Holy Stone Enterprise Co., Ltd.";"";"";"";"";"";"";"C0402B105K016T";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2.2k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R24, R25";"Resistor Fixed - ANSI";"";"";"";"";"";"2571-RM04J222CTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"RM04J222CT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2011-1X03G00SD025B";"CON-LSTB_MA03-1";"CON-LSTB_MA03-1";"J2";"PIN HEADER";"";"";"";"";"";"2553-2011-1X03G00SB-ND";"";"";"Oupiin";"";"";"";"";"";"";"2011-1X03G00SB";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2011-2X07G00SB";"CON-LSTB_MA07-2";"CON-LSTB_MA07-2";"J4";"PIN HEADER";"";"";"";"";"";"2553-2011-2X07G00SB-ND";"";"";"Oupiin";"";"";"";"";"";"";"2011-2X07G00SB";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"22.1k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R3, R15, R32, R38";"Resistor Fixed - ANSI";"";"";"";"";"";"2571-RN04D2212CT10-25TR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"RN04D2212CT10-25";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R13";"Resistor Fixed - ANSI";"";"";"";"";"";"2571-RM04J222CTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"RM04J223CT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19";"22uF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C1, C17, C18, C19, C20, C21, C22, C24, C51, C52, C53, C68, C69, C70, C81, C87, C88, C89, C90";"Capacitor - Generic";"";"";"";"";"";"2571-GMC04X5R226M6R3NTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"GMC04X5R226M6R3NT";"";"";"";"";"";"";"";"";"";"";"";"";"";
